epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,6538.63,0.34141,0.20343,0.8664,0.9942,0.70908,0.83077,0.56962,1.41259,0.96478,1.39381,0.003763,0.003763,0.003763
65,6639.48,0.33515,0.19826,0.86656,0.99215,0.71534,0.81592,0.547,1.5247,0.94299,1.51364,0.003664,0.003664,0.003664
66,6740.39,0.34095,0.19861,0.86483,0.99374,0.71743,0.81451,0.55682,1.51513,0.89177,1.51463,0.003565,0.003565,0.003565
67,6841.34,0.33061,0.19537,0.85858,0.98501,0.72092,0.81626,0.55586,1.49995,0.959,1.4682,0.003466,0.003466,0.003466
68,6942.35,0.32829,0.19785,0.86153,0.9899,0.71641,0.82972,0.55455,1.49175,1.02251,1.46321,0.003367,0.003367,0.003367
69,7043.37,0.32566,0.19219,0.86071,0.99221,0.71221,0.81474,0.55653,1.49967,1.27716,1.47448,0.003268,0.003268,0.003268
70,7144.4,0.31545,0.18805,0.85571,0.99499,0.71513,0.80844,0.54302,1.41436,0.96571,1.37351,0.003169,0.003169,0.003169
71,7245.31,0.31835,0.19004,0.85827,0.98364,0.71718,0.8393,0.56633,1.4898,1.12934,1.44211,0.00307,0.00307,0.00307
72,7346.22,0.32109,0.18792,0.86071,0.99662,0.71527,0.85482,0.59494,1.36708,1.17813,1.345,0.002971,0.002971,0.002971
73,7447.21,0.31444,0.18627,0.85817,0.98233,0.71661,0.83964,0.58054,1.41227,1.36739,1.40956,0.002872,0.002872,0.002872
74,7548.15,0.30698,0.1811,0.85261,0.97317,0.72176,0.83751,0.57571,1.36871,1.24677,1.35319,0.002773,0.002773,0.002773
75,7648.97,0.31447,0.18583,0.85791,0.99622,0.71641,0.83856,0.58127,1.3447,1.33433,1.32347,0.002674,0.002674,0.002674
76,7749.95,0.31421,0.18378,0.85439,0.99666,0.71641,0.8443,0.58928,1.43879,1.23491,1.38994,0.002575,0.002575,0.002575
77,7850.82,0.31732,0.18384,0.85878,0.99669,0.71641,0.84754,0.58375,1.53996,1.1481,1.47737,0.002476,0.002476,0.002476
78,7951.9,0.30463,0.17938,0.85089,0.97061,0.7151,0.83802,0.56727,1.54517,1.29476,1.47605,0.002377,0.002377,0.002377
79,8052.97,0.30565,0.17936,0.85326,0.98115,0.71638,0.82415,0.56365,1.50947,1.18932,1.42463,0.002278,0.002278,0.002278
80,8153.95,0.30538,0.17712,0.84988,0.99632,0.71557,0.82131,0.5583,1.47973,1.24783,1.40313,0.002179,0.002179,0.002179
81,8254.88,0.30306,0.17556,0.85268,0.89409,0.74084,0.84027,0.57003,1.42047,1.11015,1.36918,0.00208,0.00208,0.00208
82,8355.81,0.30241,0.17356,0.85139,0.97806,0.7142,0.83735,0.56666,1.46748,1.28754,1.41223,0.001981,0.001981,0.001981
83,8456.86,0.29595,0.16994,0.85001,0.94951,0.72672,0.84787,0.56908,1.50212,1.36197,1.45398,0.001882,0.001882,0.001882
84,8557.82,0.29754,0.172,0.85173,0.96142,0.72557,0.84984,0.57095,1.55443,1.42334,1.53495,0.001783,0.001783,0.001783
85,8658.73,0.2924,0.16922,0.84512,0.98715,0.71641,0.84813,0.57351,1.56401,1.44282,1.53501,0.001684,0.001684,0.001684
86,8759.55,0.28769,0.16716,0.84646,0.99588,0.71603,0.8435,0.56871,1.5317,1.33645,1.47528,0.001585,0.001585,0.001585
87,8860.49,0.286,0.16438,0.84885,0.99313,0.71527,0.84289,0.5633,1.56351,1.40502,1.49875,0.001486,0.001486,0.001486
88,8961.32,0.28027,0.16277,0.84498,0.99373,0.71511,0.841,0.55938,1.60528,1.47878,1.55569,0.001387,0.001387,0.001387
89,9062.31,0.28447,0.16292,0.84902,0.99308,0.71527,0.84579,0.56795,1.60995,1.49064,1.55224,0.001288,0.001288,0.001288
90,9163.3,0.281,0.16161,0.84575,0.99589,0.71436,0.84474,0.57664,1.59249,1.50697,1.52056,0.001189,0.001189,0.001189
91,9281.48,0.23066,0.1288,0.82503,0.99479,0.71603,0.83849,0.57661,1.55748,1.47148,1.49689,0.00109,0.00109,0.00109
92,9382.27,0.22601,0.1257,0.82346,0.99273,0.71603,0.82863,0.56911,1.53935,1.48887,1.50065,0.000991,0.000991,0.000991
93,9482.97,0.22396,0.12375,0.82192,0.99245,0.71565,0.83081,0.56901,1.5496,1.53265,1.51132,0.000892,0.000892,0.000892
94,9583.69,0.22181,0.12209,0.8251,0.99239,0.71518,0.83175,0.56714,1.5515,1.50645,1.5216,0.000793,0.000793,0.000793
95,9684.32,0.21898,0.11991,0.81976,0.99203,0.71603,0.83465,0.56815,1.54303,1.47599,1.52896,0.000694,0.000694,0.000694
96,9784.99,0.21649,0.11897,0.81732,0.99457,0.71565,0.83912,0.57587,1.52213,1.51955,1.52666,0.000595,0.000595,0.000595
97,9885.7,0.21765,0.11774,0.81846,0.99318,0.71603,0.84021,0.575,1.51547,1.44246,1.52185,0.000496,0.000496,0.000496
98,9986.16,0.21561,0.11612,0.82061,0.99364,0.71527,0.83834,0.57192,1.51789,1.38854,1.51859,0.000397,0.000397,0.000397
99,10086.8,0.21292,0.11508,0.81675,0.98944,0.7155,0.83679,0.57066,1.52115,1.38498,1.52672,0.000298,0.000298,0.000298
100,10187.6,0.20879,0.1134,0.81703,0.98767,0.71462,0.83733,0.56986,1.52217,1.36177,1.52898,0.000199,0.000199,0.000199
